YEAR,VEHICLE,PURCHASER,DATE,DEAL
11,MKX,ALEXANDRIA,10/15/2018,
12,CARAVAN,ALEXANDRIA,10/15/2018,
10,MAZDA 6,ALEXANDRIA,10/15/2018,
11,EDGE,ALEXANDRIA,10/15/2018,
13,CARAVAN,ALEXANDRIA,10/15/2018,
10,F150,ALEXANDRIA,10/15/2018,
17,FUSION H,ADESA,10/10/2018,
16,MKX,ADESA,10/10/2018,
15,FUSION H,ADESA,10/10/2018,
17,F150,TERRACE,10/24/2018,
16,MKX,TERRACE,10/24/2018,
16,EXPLORER,TERRACE,10/24/2018,
15,TAURAS,TERRACE,10/24/2018,
16,F150,TERRACE,10/24/2018,
15,EDGE,TERRACE,10/24/2018,
13,FORTE,TERRACE,10/24/2018,
15,MKC,TERRACE,10/24/2018,
15,ESCAPE,TERRACE,10/24/2018,
16,EXPLORER,TERRACE,10/24/2018,
16,EDGE,TERRACE,10/24/2018,
16,JOURNEY,RED DEER,10/2/2018,
14,CX9,RED DEER,10/2/2018,
14,CX5,RED DEER,10/2/2018,
11,IS350,RED DEER,10/2/2018,
10,F150,RED DEER,10/2/2018,
10,F150,RED DEER,10/2/2018,
16,CX5,RED DEER,10/2/2018,
16,ODYSSEY,PRESTIGE,10/24/2018,
15,CHEROKEE,PRESTIGE,10/24/2018,
14,ESCAPE,PRESTIGE,10/24/2018,
16,F150,PRESTIGE,10/24/2018,
16,SORENTO,DURHAM KIA,10/24/2018,
17,SORENTO,DURHAM KIA,10/24/2018,
15,F150,DURHAM KIA,11/2/2018,
15,F150,DURHAM KIA,11/2/2018,
11,1500,ALEXANDRIA,10/29/2018,
13,KIZASHI,ALEXANDRIA,10/29/2018,
10,JOURNEY,ALEXANDRIA,10/29/2018,
14,FOCUS,ALEXANDRIA,10/29/2018,
11,RANGER,AUTO LEASING,11/5/2018,
15,ESCAPE,AUTO LEASING,10/30/2018,
16,F150,AUTO LEASING,10/30/2018,
15,F150,AUTO LEASING,10/30/2018,
12,F150,AUTO LEASING,11/5/2018,
16,SILVERADO,AUTO LEASING,10/30/2018,
16,CHEROKEE,AUTO LEASING,10/30/2018,
12,EXPEDITION,AUTO LEASING,11/5/2018,
10,F150,AUTO LEASING,10/30/2018,
10,MKZ,S&D MOTOR,11/2/2018,
5,MUSTANG,S&D MOTOR,11/2/2018,
10,F150,S&D MOTOR,11/2/2018,
14,CARAVAN,S&D MOTOR,11/2/2018,
7,MDX,S&D MOTOR,11/2/2018,
11,TIGUAN,S&D MOTOR,11/2/2018,
10,JOURNEY,S&D MOTOR,11/2/2018,
10,TRIBUTE,S&D MOTOR,11/2/2018,
15,ESCAPE,ALEXANDRIA,11/7/2018,
7,EQUINOX,ALEXANDRIA,11/7/2018,
9,AUDI Q7,ALEXANDRIA,11/7/2018,
13,ESCAPE,ALEXANDRIA,11/7/2018,
14,FRS,RED DEER,11/20/2018,
16,SANTA FE,RED DEER,11/20/2018,
12,F150,AUTO LEASING,11/11/2018,
12,SILVERADO,AUTO LEASING,11/11/2018,
11,F150,AUTO LEASING,11/11/2018,
13,CIVIC,AUTO LEASING,11/11/2018,
11,CARAVAN,AUTO LEASING,11/11/2018,
10,CADILLAC,AUTO LEASING,11/11/2018,
14,F150,AUTO LEASING,11/11/2018,
8,MONTANA,AUTO LEASING,11/11/2018,
17,EXPLORER,ADESA,5/28/2018,
16,MAZDA CX5,PRESTIGE,11/23/2018,
18,TUNDRA,PRESTIGE,11/23/2018,
17,MAZDA CX3,PRESTIGE,11/23/2018,
8,WRANGLER,ALEXANDRIA,11/11/2018,
8,IMPALA,ALEXANDRIA,11/11/2018,
5,MUSTANG,ALEXANDRIA,11/11/2018,
7,XTERRA,ALEXANDRIA,11/11/2018,
13,ESCAPE,ALEXANDRIA,11/11/2018,
14,F150,AUTO LEASING,11/21/2018,
14,ESCAPE,AUTO LEASING,11/21/2018,
7,RAM 1500,ALEXANDRIA,12/4/2018,
8,CHRYSLER,ALEXANDRIA,12/4/2018,
7,F150,ALEXANDRIA,12/4/2018,
12,CHRYSLER,ALEXANDRIA,12/4/2018,
9,SILVERADO,ALEXANDRIA,12/4/2018,
5,BMW X5,SOCKET SCRAP,12/4/2018,
2,CENTURY,SOCKET SCRAP,12/4/2018,
6,TAURUS,SOCKET SCRAP,12/4/2018,
5,AVEO,SOCKET SCRAP,12/4/2018,
5,MAZDA 3,SOCKET SCRAP,12/4/2018,
11,TRANSIT,SOCKET SCRAP,10/31/2018,
6,ACURA TL,SOCKET SCRAP,10/31/2018,
2,BUICK,SOCKET SCRAP,10/31/2018,
11,JOURNEY,SOCKET SCRAP,10/31/2018,
5,BMW X5,SOCKET SCRAP,10/31/2018,
1,VOLVO S60,SOCKET SCRAP,10/31/2018,
10,ESCAPE,SOCKET SCRAP,10/31/2018,
11,AUDI S4,RED DEER,12/9/2018,
13,INFINITI JX35,RED DEER,12/9/2018,
12,NISSAN VAN,RED DEER,12/9/2018,
12,F150,AUTO LEASING,12/7/2018,
9,ESCAPE,AUTO LEASING,12/7/2018,
15,F150,AUTO LEASING,12/7/2018,
14,F150,AUTO LEASING,12/7/2018,
15,SILVERADO,AUTO LEASING,12/7/2018,
14,ODYSSEY,PRESTIGE,12/11/2018,
16,CIVIC,PRESTIGE,12/11/2018,
6,MONTANA,SOCKET SCRAP,12/14/2018,
10,HHR,SOCKET SCRAP,12/14/2018,
4,SENTRA,SOCKET SCRAP,12/14/2018,
5,F150,SOCKET SCRAP,12/14/2018,
8,F150,ALEXANDRIA,12/14/2018,
8,CARAVAN,ALEXANDRIA,12/14/2018,
7,F150,ALEXANDRIA,12/14/2018,
9,ACCORD,ALEXANDRIA,12/14/2018,
7,F150,ALEXANDRIA,12/14/2018,
16,RAM 1500,AUTO LEASING,12/17/2018,
8,SANTA FE,AUTO LEASING,12/17/2018,
11,F150,AUTO LEASING,12/17/2018,
10,CARAVAN,AUTO LEASING,12/17/2018,
9,F150,AUTO LEASING,12/17/2018,
12,FOCUS,MANHEIM,10/16/2018,
17,EXPLORER,MANHEIM,10/16/2018,
